model,model_label,model_sort_key,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_000052,no_think,irrelevant_context,,True,full_output,no_think_full,20,cross_model,57,57,6.6000312805175785,10.876356141609058,5.7870001792907715,38.428524017333984,27.054193868209488,10.643897601536343,0.10526315789473684,3.9371722129641693,3.1413893699645996
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_001276,no_think,irrelevant_context,,False,full_output,no_think_full,6,per_sample,49,49,5.1519900321960455,13.532595060309585,5.176027297973633,52.78525161743164,79.71001724575807,13.004285842180254,0.0,-0.5081390248512828,-0.4785236578721275
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_001276,no_think,irrelevant_context,,False,full_output,no_think_full,13,per_sample,49,49,6.515721368789673,11.800772374990036,5.611973762512207,23.810731887817383,21.20852689240231,11.678188731273016,0.10204081632653061,-1.43746655366859,-1.7315676028911877
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,irrelevant_context,gsm8k_test_001276,no_think,irrelevant_context,,False,full_output,no_think_full,20,per_sample,49,49,6.6000312805175785,11.825519843977325,5.350668430328369,27.262662887573242,19.01034599815522,11.66560103495916,0.12244897959183673,-0.2266033546292086,-0.7360024452209473
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000003,no_think,repetitive_filler,,True,full_output,no_think_full,6,cross_model,44,44,5.1519900321960455,14.941359780051492,4.052959442138672,74.21414184570312,136.02994110112832,14.068463591642157,0.06818181818181818,2.771737572641082,-0.565638542175293
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000003,no_think,repetitive_filler,,True,full_output,no_think_full,13,cross_model,44,44,6.515721368789673,11.013515277342362,4.542025566101074,23.036252975463867,19.672505117303427,10.925731969434162,0.1590909090909091,0.7463946313569059,-1.115612290122293
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000003,no_think,repetitive_filler,,True,full_output,no_think_full,20,cross_model,44,44,6.6000312805175785,13.247752352194352,6.224851131439209,29.908899307250977,33.216822098532596,13.08983803904334,0.045454545454545456,5.02559624729735,1.486180435527455
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000010,no_think,repetitive_filler,,False,full_output,no_think_full,6,cross_model,49,49,5.1519900321960455,16.18639725081775,4.490938186645508,109.40727233886719,307.78079186801693,15.041019608577095,0.12244897959183673,-2.3021677780151344,-4.44421628805307
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000010,no_think,repetitive_filler,,False,full_output,no_think_full,13,cross_model,49,49,6.515721368789673,10.121831329501404,4.229545593261719,27.804180145263672,18.419902294756128,9.92107332746188,0.16326530612244897,-0.18432700877287955,-0.8730542476360608
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000010,no_think,repetitive_filler,,False,full_output,no_think_full,20,cross_model,49,49,6.6000312805175785,10.71711338782797,6.152263164520264,33.02124786376953,26.327760794255436,10.499185452858606,0.12244897959183673,3.770254407610208,2.001364414508526
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000052,no_think,repetitive_filler,,False,full_output,no_think_full,6,cross_model,73,73,5.1519900321960455,11.333081007003784,3.48311185836792,78.26321411132812,187.72568442947835,10.699046277337601,0.2465753424657534,8.122244697374484,6.508314810301128
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000052,no_think,repetitive_filler,,False,full_output,no_think_full,13,cross_model,73,73,6.515721368789673,10.503259266892524,5.0636305809021,26.0717716217041,20.684930941417964,10.3786913090282,0.0958904109589041,2.1942161579831163,1.4509230412934944
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000052,no_think,repetitive_filler,,False,full_output,no_think_full,20,cross_model,73,73,6.6000312805175785,10.178232637170243,4.692930698394775,32.322906494140625,22.30172658539663,10.02836396296819,0.1780821917808219,0.9916878477461643,0.3110432875783822
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,repetitive_filler,gsm8k_test_000170,no_think,repetitive_filler,,False,full_output,no_think_full,6,per_sample,48,48,5.1519900321960455,13.68826192120711,3.6816866397857666,91.12747192382812,173.18776511906404,12.718761418728123,0.14583333333333334,1.8179538572320988,0.32155799865722656
