model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff,boundary_jump_answer_minus_thinking,sample_scope
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000031,think,canonical,,True,answer_segment,think_answer,6,exp_c_segment_sample,52,52,0.0007245007436722517,0.0039835200083101745,0.0006600861670449376,0.029156332835555077,3.001372481154093e-05,0.0037558548981049926,0.038461538461538464,-0.0007048505869932662,-0.0011413709457533863,-0.001364290714263916,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000031,think,canonical,,True,answer_segment,think_answer,13,exp_c_segment_sample,52,52,0.0011393683264032007,0.00272987824484097,0.0007292337249964476,0.009159306064248085,3.384640682070945e-06,0.002710081966749083,0.11538461538461539,-0.0002772299618360897,-0.00016412630569762922,7.27532897144556e-05,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000031,think,canonical,,True,answer_segment,think_answer,20,exp_c_segment_sample,52,52,0.0014959154883399605,0.0027381334635160435,0.0007069316925480962,0.010364132933318615,2.360468747712491e-06,0.002637629978148742,0.1346153846153846,0.0005176038612156766,0.0004688700338682304,-0.0004570838063955307,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000031,think,canonical,,True,thinking_segment,thinking,6,exp_c_segment_sample,256,256,0.0007245007436722517,0.0038424368231062545,0.00045903181307949126,0.045481666922569275,4.1432814394437154e-05,0.00371464887648193,0.04296875,-0.005248705157591029,-0.0036679274621747027,-0.001364290714263916,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000031,think,canonical,,True,thinking_segment,thinking,13,exp_c_segment_sample,256,256,0.0011393683264032007,0.0030082859402682516,0.0007520034560002387,0.01939815655350685,5.6758130413968325e-06,0.002980515308869054,0.046875,-0.0019288360166514436,-0.001307738825744309,7.27532897144556e-05,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000031,think,canonical,,True,thinking_segment,thinking,20,exp_c_segment_sample,256,256,0.0014959154883399605,0.0027070922546954534,0.001081167720258236,0.010056152008473873,1.4099120577926236e-06,0.0026901407462591133,0.08203125,-0.0007833920806030574,-0.000553191233848338,-0.0004570838063955307,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000054,think,canonical,,True,answer_segment,think_answer,6,exp_c_segment_sample,54,54,0.0007245007436722517,0.0042773445085104965,0.000617056735791266,0.05226222053170204,5.117738215596941e-05,0.004177546583309348,0.07407407407407407,-0.004908340130085974,-0.003942660359565966,0.007906295359134674,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000054,think,canonical,,True,answer_segment,think_answer,13,exp_c_segment_sample,54,54,0.0011393683264032007,0.0027970077590671956,0.001189685077406466,0.00881101842969656,1.9599424852355403e-06,0.0027913500133128653,0.0,-0.0013436326122080752,-0.0010770501269559774,-0.0010887454263865948,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000054,think,canonical,,True,answer_segment,think_answer,20,exp_c_segment_sample,54,54,0.0014959154883399605,0.002674369061693411,0.0014976209495216608,0.00733672920614481,1.1100958468299772e-06,0.0026164082173293214,0.0,-0.0001693095816675608,8.034163952938111e-05,-0.0010563998948782682,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000054,think,canonical,,True,thinking_segment,thinking,6,exp_c_segment_sample,256,256,0.0007245007436722517,0.004065268280442069,0.0004109912842977792,0.04165277257561684,3.312012090636844e-05,0.003935036531845371,0.10546875,-0.001691276310186693,-0.000900927556813258,0.007906295359134674,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000054,think,canonical,,True,thinking_segment,thinking,13,exp_c_segment_sample,256,256,0.0011393683264032007,0.0030388877230507205,0.0006667961715720594,0.020032204687595367,6.966977767686307e-06,0.0029722897634413964,0.16796875,-0.0003506124332501789,-0.00024190476869989652,-0.0010887454263865948,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,think,gsm8k_test_000054,think,canonical,,True,thinking_segment,thinking,20,exp_c_segment_sample,256,256,0.0014959154883399605,0.007188053134541406,0.0007474150042980909,1.0795211791992188,0.004513127642582057,0.007133891776732402,0.15625,-0.01141336906913918,-0.00020108265471208142,-0.0010563998948782682,per_model_kept_independent_plus_common_union
