model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000003,no_think,canonical,,True,full_output,no_think_full,20,cross_model,42,42,0.003222671523690224,0.0060273532899806186,0.0027394758071750402,0.01657404936850071,7.213067794822671e-06,0.005913949986102015,0.047619047619047616,0.001587771050217389,0.00044413575563918405
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000010,no_think,canonical,,False,full_output,no_think_full,6,cross_model,59,59,0.0025156201329082253,0.006981525051218095,0.0018602994969114661,0.043735262006521225,3.658359517284986e-05,0.006619579730764161,0.11864406779661017,-0.0005099031995287469,-0.0004765168298035867
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000010,no_think,canonical,,False,full_output,no_think_full,13,cross_model,59,59,0.0031815045746043324,0.005545448870950584,0.0019655334763228893,0.014369185082614422,5.67970953295335e-06,0.005470986787133434,0.1016949152542373,0.0002519324840188522,4.942345743377992e-05
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000010,no_think,canonical,,False,full_output,no_think_full,20,cross_model,59,59,0.003222671523690224,0.005271068789948851,0.002471043262630701,0.013931909576058388,4.536305201577387e-06,0.005196956211122972,0.15254237288135594,0.00027832546887003346,0.00016339002177119272
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000052,no_think,canonical,,False,full_output,no_think_full,6,cross_model,57,57,0.0025156201329082253,0.00680827489939698,0.0024544554762542248,0.026242084801197052,2.367246112527373e-05,0.006551895257351654,0.03508771929824561,-0.002207646121908174,-0.0010859790568550423
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000052,no_think,canonical,,False,full_output,no_think_full,13,cross_model,57,57,0.0031815045746043324,0.005972237068865644,0.002118253381922841,0.026809634640812874,1.186496618566305e-05,0.005884232914208301,0.03508771929824561,0.0006619742539070658,0.0007464726921170952
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000052,no_think,canonical,,False,full_output,no_think_full,20,cross_model,57,57,0.003222671523690224,0.005464903573227818,0.003004186088219285,0.018119165673851967,5.654093396929301e-06,0.0053584526758641005,0.08771929824561403,0.0015098616884794802,0.0011116849258542066
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000226,no_think,canonical,,False,full_output,no_think_full,6,per_sample,43,43,0.0025156201329082253,0.007668731095226005,0.002291683340445161,0.029272781684994698,3.287541813285742e-05,0.0073115280718498285,0.06976744186046512,-0.004530193342238538,-0.003055891106751832
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000226,no_think,canonical,,False,full_output,no_think_full,13,per_sample,43,43,0.0031815045746043324,0.005275972198348406,0.0029190301429480314,0.009604756720364094,2.529157317442162e-06,0.005229289139000079,0.09302325581395349,-0.0006463072813031373,-0.0008158680390227919
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,canonical,gsm8k_test_000226,no_think,canonical,,False,full_output,no_think_full,20,per_sample,43,43,0.003222671523690224,0.006384653407473897,0.003279265947639942,0.01881299540400505,9.045060840035748e-06,0.006351222117830601,0.0,-5.452213296962306e-05,-0.00015266764570366197
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,irrelevant_context,gsm8k_test_000003,no_think,irrelevant_context,,True,full_output,no_think_full,6,cross_model,48,48,0.0025156201329082253,0.006389783971826546,0.002624260727316141,0.02835536003112793,2.2361367020246634e-05,0.006100674670070727,0.0,0.0017713215944537754,0.002389806051117678
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,irrelevant_context,gsm8k_test_000003,no_think,irrelevant_context,,True,full_output,no_think_full,13,cross_model,48,48,0.0031815045746043324,0.005312706663971767,0.0027614596765488386,0.013902561739087105,4.317225396271246e-06,0.005213147911064804,0.041666666666666664,0.0011147903112162395,0.000938340206630528
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,irrelevant_context,gsm8k_test_000003,no_think,irrelevant_context,,True,full_output,no_think_full,20,cross_model,48,48,0.003222671523690224,0.005734455097505513,0.0027273634914308786,0.014963014982640743,6.274376943362138e-06,0.005658907459137286,0.041666666666666664,-0.0014473920710603493,-0.000892305261610697
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,irrelevant_context,gsm8k_test_000010,no_think,irrelevant_context,,False,full_output,no_think_full,6,cross_model,45,45,0.0025156201329082253,0.007445786541534795,0.00197043945081532,0.05530935525894165,7.183035700145017e-05,0.0068266268142245035,0.13333333333333333,0.00035253724056309656,-0.0004644736764021218
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,irrelevant_context,gsm8k_test_000010,no_think,irrelevant_context,,False,full_output,no_think_full,13,cross_model,45,45,0.0031815045746043324,0.005054738056949443,0.0023498714435845613,0.012552882544696331,4.628158494594082e-06,0.004958601044067605,0.13333333333333333,-0.0005058613619294688,-0.0006953781509461496
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,irrelevant_context,gsm8k_test_000010,no_think,irrelevant_context,,False,full_output,no_think_full,20,cross_model,45,45,0.003222671523690224,0.005358082283702162,0.002856416394934058,0.016117040067911148,6.45460357230751e-06,0.0052456180565059185,0.13333333333333333,0.0013216628625557073,0.0007742643356323242
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_b,irrelevant_context,gsm8k_test_000052,no_think,irrelevant_context,,True,full_output,no_think_full,6,cross_model,57,57,0.0025156201329082253,0.006762924032253132,0.002202096628025174,0.024093419313430786,2.2439033217654223e-05,0.006535253820142577,0.08771929824561403,-0.002703093323592913,-0.0015720134135335673
